,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
1758,_SFCeQucdEeet0YmmfbMwkw,CF3,1355.8449,1013.5194,448.4495,669.4693,323.0794,447.8803
1759,_SFDEwecdEeet0YmmfbMwkw,CF3,1355.8449,1013.5194,1072.8543,669.4693,323.0794,717.0502
1760,_SFDFYecdEeet0YmmfbMwkw,CF3,1355.8449,1000.0982,1072.8543,669.4693,323.0794,717.0502
1761,_SFDryecdEeet0YmmfbMwkw,CF3,1328.3952,1000.0982,1072.8543,862.9818,508.3829,717.0502
1762,_SFDsaecdEeet0YmmfbMwkw,CF3,1328.3952,665.0281,1072.8543,862.9818,508.3829,305.3219
1763,_SFDtCecdEeet0YmmfbMwkw,CF3,969.5459,665.0281,1034.4484,862.9818,508.3829,305.3219
1764,_SFETCecdEeet0YmmfbMwkw,CF3,969.5459,665.0281,1034.4484,908.1643,777.5007,305.3219
1765,_SFCeOOcdEeet0YmmfbMwkw,CF3,969.5459,1073.5629,601.0,908.1643,777.5007,97.3219
1766,_SFDEt-cdEeet0YmmfbMwkw,CF3,1448.664,1073.5629,601.0,908.1643,777.5007,97.3219
1767,_SFDFV-cdEeet0YmmfbMwkw,CF3,1448.664,983.0982,601.0,895.9818,363.3026,97.3219
1768,_SFDrv-cdEeet0YmmfbMwkw,CF3,1311.3952,983.0982,1202.4327,895.9818,363.3026,470.8803
1769,_SFDsX-cdEeet0YmmfbMwkw,CF3,1311.3952,983.0982,1202.4327,553.4693,363.3026,470.8803
1770,_SFDs_-cdEeet0YmmfbMwkw,CF3,1311.3952,443.0,1202.4327,553.4693,156.6094,470.8803
1771,_SFES_-cdEeet0YmmfbMwkw,CF3,730.0,443.0,544.8284,553.4693,156.6094,624.8803
1772,_SFDEU-cdEeet0YmmfbMwkw,CF2,730.0,443.0,544.8284,967.5672,156.6094,624.8803
1773,_SFDE8-cdEeet0YmmfbMwkw,CF2,730.0,627.0281,544.8284,967.5672,531.3829,624.8803
1774,_SFDFk-cdEeet0YmmfbMwkw,CF2,931.5459,627.0281,543.8284,878.9818,531.3829,915.5271
1775,_SFDr--cdEeet0YmmfbMwkw,CF2,931.5459,627.0281,543.8284,878.9818,531.3829,915.5271
1776,_SFDsm-cdEeet0YmmfbMwkw,CF2,931.5459,896.1289999999999,543.8284,878.9818,685.3829,915.5271
