,Optimal_Affected_Component_Uid,Optimal_Failure,sqt
1719,_SE2QWecdEeet0YmmfbMwkw,CF3,6.0238
1720,_SE2QWecdEeet0YmmfbMwkw,CF3,6.0238
1721,_SFJyOOcdEeet0YmmfbMwkw,CF2,3.4594
1722,_SFJyOOcdEeet0YmmfbMwkw,CF2,3.4594
1723,_SFJyOOcdEeet0YmmfbMwkw,CF2,3.4594
1724,_SE4s9ecdEeet0YmmfbMwkw,CF2,3.1678
1725,_SE4s9ecdEeet0YmmfbMwkw,CF2,3.1678
1726,_SE4s9ecdEeet0YmmfbMwkw,CF2,3.1678
1727,_SFFhqOcdEeet0YmmfbMwkw,CF3,6.1448
1728,_SFFhqOcdEeet0YmmfbMwkw,CF3,6.1448
1729,_SFFhqOcdEeet0YmmfbMwkw,CF3,6.1448
1730,_SE8Xk-cdEeet0YmmfbMwkw,CF1,6.0468
1731,_SE8Xk-cdEeet0YmmfbMwkw,CF1,6.0468
1732,_SE8Xk-cdEeet0YmmfbMwkw,CF1,6.0468
1733,_SFNeOOcdEeet0YmmfbMwkw,CF3,4.4482
1734,_SFNeOOcdEeet0YmmfbMwkw,CF3,4.4482
1735,_SFNeOOcdEeet0YmmfbMwkw,CF3,4.4482
1736,_SE57PecdEeet0YmmfbMwkw,CF3,6.0308
1737,_SE57PecdEeet0YmmfbMwkw,CF3,6.0308
1738,_SE57PecdEeet0YmmfbMwkw,CF3,6.0308
1739,_SFDFeecdEeet0YmmfbMwkw,CF1,3.8703
1740,_SFDFeecdEeet0YmmfbMwkw,CF1,3.8703
1741,_SFDFeecdEeet0YmmfbMwkw,CF1,3.8703
1742,_SFS9JucdEeet0YmmfbMwkw,CF1,2.7321
1743,_SFS9JucdEeet0YmmfbMwkw,CF1,2.7321
1744,_SFS9JucdEeet0YmmfbMwkw,CF1,2.7321
1745,_SFOEtucdEeet0YmmfbMwkw,CF1,3.8913
1746,_SFOEtucdEeet0YmmfbMwkw,CF1,3.8913
1747,_SFOEtucdEeet0YmmfbMwkw,CF1,3.8913
1748,_SE8XCucdEeet0YmmfbMwkw,CF1,3.4094
1749,_SE8XCucdEeet0YmmfbMwkw,CF1,3.4094
1750,_SE8XCucdEeet0YmmfbMwkw,CF1,3.4094
1751,_SFJyq-cdEeet0YmmfbMwkw,CF3,6.1678
1752,_SFJyq-cdEeet0YmmfbMwkw,CF3,6.1678
1753,_SFJyq-cdEeet0YmmfbMwkw,CF3,6.1678
1754,_SFESm-cdEeet0YmmfbMwkw,CF2,3.4454
1755,_SFESm-cdEeet0YmmfbMwkw,CF2,3.4454
1756,_SFESm-cdEeet0YmmfbMwkw,CF2,3.4454
1757,_SFESm-cdEeet0YmmfbMwkw,CF2,3.4454
1758,_SFESm-cdEeet0YmmfbMwkw,CF2,3.4454
1759,_SFESm-cdEeet0YmmfbMwkw,CF2,3.4454
1760,_SFJzfecdEeet0YmmfbMwkw,CF1,3.4604
1761,_SFJzfecdEeet0YmmfbMwkw,CF1,3.4604
1762,_SFJzfecdEeet0YmmfbMwkw,CF1,3.4604
1763,_SE8W3ecdEeet0YmmfbMwkw,CF1,6.0438
1764,_SE8W3ecdEeet0YmmfbMwkw,CF1,6.0438
1765,_SE8W3ecdEeet0YmmfbMwkw,CF1,6.0438
1766,_SFJyKecdEeet0YmmfbMwkw,CF1,13.1005
1767,_SFJyKecdEeet0YmmfbMwkw,CF1,13.1005
1768,_SFJyKecdEeet0YmmfbMwkw,CF1,13.1005
1769,_SFBPgOcdEeet0YmmfbMwkw,CF3,6.1058
1770,_SFBPgOcdEeet0YmmfbMwkw,CF3,6.1058
1771,_SFLAqecdEeet0YmmfbMwkw,CF2,3.1858
1772,_SFLAqecdEeet0YmmfbMwkw,CF2,3.1858
1773,_SFLAqecdEeet0YmmfbMwkw,CF2,3.1858
1774,_SFMQGecdEeet0YmmfbMwkw,CF2,9.0343
1775,_SFMQGecdEeet0YmmfbMwkw,CF2,9.0343
1776,_SFMQGecdEeet0YmmfbMwkw,CF2,9.0343
1777,_SFGuu-cdEeet0YmmfbMwkw,CF1,6.1538
1778,_SFGuu-cdEeet0YmmfbMwkw,CF1,6.1538
1779,_SFGuu-cdEeet0YmmfbMwkw,CF1,6.1538
1780,_SFGuu-cdEeet0YmmfbMwkw,CF1,6.1538
1781,_SFGuu-cdEeet0YmmfbMwkw,CF1,6.1538
1782,_SFGuu-cdEeet0YmmfbMwkw,CF1,6.1538
1783,_SFFh3-cdEeet0YmmfbMwkw,CF1,2.9565
1784,_SFFh3-cdEeet0YmmfbMwkw,CF1,2.9565
1785,_SFFh3-cdEeet0YmmfbMwkw,CF1,2.9565
1786,_SFJy8-cdEeet0YmmfbMwkw,CF2,2.7151
1787,_SFJy8-cdEeet0YmmfbMwkw,CF2,2.7151
1788,_SFJy8-cdEeet0YmmfbMwkw,CF2,2.7151
1789,_SFMPsecdEeet0YmmfbMwkw,CF3,3.1918
1790,_SFMPsecdEeet0YmmfbMwkw,CF3,3.1918
1791,_SFMPsecdEeet0YmmfbMwkw,CF3,3.1918
1792,_SFGwm-cdEeet0YmmfbMwkw,CF3,6.1618
1793,_SFGwm-cdEeet0YmmfbMwkw,CF3,6.1618
1794,_SFGwm-cdEeet0YmmfbMwkw,CF3,6.1618
1795,_SFDE8-cdEeet0YmmfbMwkw,CF2,3.4384
1796,_SFDE8-cdEeet0YmmfbMwkw,CF2,3.4384
1797,_SFDE8-cdEeet0YmmfbMwkw,CF2,3.4384
1798,_SFDE8-cdEeet0YmmfbMwkw,CF2,3.4384
1799,_SFDE8-cdEeet0YmmfbMwkw,CF2,3.4384
1800,_SFDE8-cdEeet0YmmfbMwkw,CF2,3.4384
1801,_SFAogecdEeet0YmmfbMwkw,CF1,6.0938
1802,_SFAogecdEeet0YmmfbMwkw,CF1,6.0938
1803,_SFAogecdEeet0YmmfbMwkw,CF1,6.0938
1804,_SExYNOcdEeet0YmmfbMwkw,CF1,8.9853
1805,_SExYNOcdEeet0YmmfbMwkw,CF1,8.9853
1806,_SE7wGecdEeet0YmmfbMwkw,CF3,6.0388
1807,_SE7wGecdEeet0YmmfbMwkw,CF3,6.0388
1808,_SE7wGecdEeet0YmmfbMwkw,CF3,6.0388
1809,_SEvi2OcdEeet0YmmfbMwkw,CF2,3.4214
1810,_SEvi2OcdEeet0YmmfbMwkw,CF2,3.4214
1811,_SEvi2OcdEeet0YmmfbMwkw,CF2,3.4214
1812,_SE7wJecdEeet0YmmfbMwkw,CF1,3.8513
1813,_SE7wJecdEeet0YmmfbMwkw,CF1,3.8513
